t=2026-07-25T14:14:00+0100 lvl=info msg="no configuration paths supplied"
t=2026-07-25T14:14:00+0100 lvl=info msg="using configuration at default config path" path="/Users/a/Library/Application Support/ngrok/ngrok.yml"
t=2026-07-25T14:14:00+0100 lvl=info msg="open config file" path="/Users/a/Library/Application Support/ngrok/ngrok.yml" err=<nil>
t=2026-07-25T14:16:42+0100 lvl=info msg="join connections" obj=join id=0de9fd5d8e7e l=[::1]:3000 r=105.127.13.198:24579
t=2026-07-25T14:16:44+0100 lvl=info msg="join connections" obj=join id=c7412cc47919 l=[::1]:3000 r=105.127.13.198:24600
t=2026-07-25T14:16:46+0100 lvl=info msg="join connections" obj=join id=802f7269dd38 l=[::1]:3000 r=105.127.13.198:19437
t=2026-07-25T14:16:51+0100 lvl=info msg="join connections" obj=join id=636c701cfe81 l=[::1]:3000 r=105.127.13.198:24615
t=2026-07-25T14:16:51+0100 lvl=info msg="join connections" obj=join id=2a44d3a7771f l=[::1]:3000 r=105.127.13.198:24582
t=2026-07-25T14:16:52+0100 lvl=info msg="join connections" obj=join id=512d9b3894d9 l=[::1]:3000 r=105.127.13.198:24582
t=2026-07-25T14:16:52+0100 lvl=info msg="join connections" obj=join id=4b7410e6f1a3 l=[::1]:3000 r=105.127.13.198:24582
t=2026-07-25T14:16:52+0100 lvl=info msg="join connections" obj=join id=33134aac882f l=[::1]:3000 r=105.127.13.198:24582
t=2026-07-25T14:16:52+0100 lvl=info msg="join connections" obj=join id=0b04ac42f8bf l=[::1]:3000 r=105.127.13.198:24582
t=2026-07-25T14:16:52+0100 lvl=info msg="join connections" obj=join id=7cf45d85a7b3 l=[::1]:3000 r=105.127.13.198:24582
t=2026-07-25T14:16:52+0100 lvl=info msg="join connections" obj=join id=c156c4ad3682 l=[::1]:3000 r=105.127.13.198:24582
t=2026-07-25T14:16:52+0100 lvl=info msg="join connections" obj=join id=58e8188d487a l=[::1]:3000 r=105.127.13.198:24582
t=2026-07-25T14:16:52+0100 lvl=info msg="join connections" obj=join id=ec14a1779e26 l=[::1]:3000 r=105.127.13.198:24582
t=2026-07-25T14:16:52+0100 lvl=info msg="join connections" obj=join id=019cb8e78860 l=[::1]:3000 r=105.127.13.198:24582
t=2026-07-25T14:16:52+0100 lvl=info msg="join connections" obj=join id=6b28352e7ca5 l=[::1]:3000 r=105.127.13.198:24582
t=2026-07-25T14:16:52+0100 lvl=info msg="join connections" obj=join id=1d3f4c65f3dd l=[::1]:3000 r=105.127.13.198:24582
t=2026-07-25T14:16:52+0100 lvl=info msg="join connections" obj=join id=29745758e2f7 l=[::1]:3000 r=105.127.13.198:24582
t=2026-07-25T14:16:52+0100 lvl=info msg="join connections" obj=join id=953c08cf6462 l=[::1]:3000 r=105.127.13.198:24582
t=2026-07-25T14:16:52+0100 lvl=info msg="join connections" obj=join id=4cf895f33844 l=[::1]:3000 r=105.127.13.198:24582
t=2026-07-25T14:16:52+0100 lvl=info msg="join connections" obj=join id=57bd537a5be2 l=[::1]:3000 r=105.127.13.198:24582
t=2026-07-25T14:16:52+0100 lvl=info msg="join connections" obj=join id=5d80d16875b3 l=[::1]:3000 r=105.127.13.198:24582
t=2026-07-25T14:16:52+0100 lvl=info msg="join connections" obj=join id=f01b9aef8048 l=[::1]:3000 r=105.127.13.198:24614
t=2026-07-25T14:16:53+0100 lvl=info msg="join connections" obj=join id=d6279bdb7f08 l=[::1]:3000 r=105.127.13.198:24575
t=2026-07-25T14:16:55+0100 lvl=info msg="join connections" obj=join id=ca835959c130 l=[::1]:3000 r=105.127.13.198:24582
t=2026-07-25T14:16:55+0100 lvl=info msg="join connections" obj=join id=df47e8a423a1 l=[::1]:3000 r=105.127.13.198:24582
t=2026-07-25T14:16:55+0100 lvl=info msg="join connections" obj=join id=3c68b9a33146 l=[::1]:3000 r=105.127.13.198:24582
t=2026-07-25T14:16:55+0100 lvl=info msg="join connections" obj=join id=88c7eaa17958 l=[::1]:3000 r=105.127.13.198:24582
t=2026-07-25T14:16:55+0100 lvl=info msg="join connections" obj=join id=f7102d731fc7 l=[::1]:3000 r=105.127.13.198:24582
t=2026-07-25T14:16:55+0100 lvl=info msg="join connections" obj=join id=f09212251fa5 l=[::1]:3000 r=105.127.13.198:24582
